,1,2,3,4,5,6,7,8
A,0.065,0.063,0.061,0.07,0.061,0.06,0.065,0.064
B,0.188,0.164,0.213,0.219,0.161,0.176,0.184,0.172
C,0.207,0.19,0.218,0.19,0.211,0.182,0.215,0.211
D,0.076,0.081,0.093,0.071,0.081,0.075,0.106,0.071
E,0.076,0.069,0.082,0.099,0.094,0.072,0.086,0.064
F,0.08,0.067,0.077,0.067,0.068,0.066,0.069,0.074
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,1,2,3,4,5,6,7,8
A,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8
B,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16
C,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24
D,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32
E,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40
F,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sample Wavelength (nm),540,,,,,,,
Reference Wavelength (nm),-1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Smart Validation,Pass,,,,,,,
Plate Well Assignment,Pass,Measured values of assigned wells indicate correct plate layout.,,,,,,
Plate Orientation,,,,,,,,
Replicates,,,,,,,,
Standards,,,,,,,,